algo,users,traffic,weight_name,blocking_rate_mean,blocking_rate_std,spectral_efficiency_mean,spectral_efficiency_std,energy_efficiency_mean,energy_efficiency_std,total_power_mean,total_power_std,qos_violations_mean,qos_violations_std,episode_reward_mean,episode_reward_std,invalid_action_rate_mean,invalid_action_rate_std,selector_evaluated_actions_mean,selector_evaluated_actions_std
dqn,200,hotspot,equal,0.43399999999999994,0.022715633383201095,324.1551363968234,9.867232192609118,0.33338487789550025,0.2023743912269298,1341.3302800892495,945.3728844887157,0.0,0.0,104.26666666666667,5.139390365922147,0.3863991769547325,0.009976793170715958,,
dqn,200,uniform,equal,0.3535,0.032668792447839254,383.2063664559517,18.88998928123482,0.3734321251871669,0.32327086779463554,1745.2664623734029,1361.3854470774904,0.0,0.0,124.23333333333333,5.272886622461485,0.11766460905349795,0.010412737408596984,,
gnn_topk10_selector_sage_candidate,25,hotspot,equal,0.0,0.0,152.55539395334907,4.28930830733417,4.8340910470020715,0.8010183990355763,33.38230152646585,7.458968872705252,0.0,0.0,25.0,0.0,0.07004115226337443,0.006704662338902466,19.184,0.3288525505450707
gnn_topk10_selector_sage_candidate,25,uniform,equal,0.0,0.0,160.47079925145707,6.392053939377586,4.951967745445351,1.24002502284414,35.49209978830308,10.775103807862289,0.0,0.0,25.0,0.0,0.020658436213991733,0.0003771667238646573,18.490666666666666,1.0762180695999006
gnn_topk10_selector_sage_candidate,50,hotspot,equal,0.0,0.0,244.02483192952067,2.4347884668440147,3.7075052554919705,0.4008501872860978,68.65627549861178,8.334479153285825,0.0,0.0,49.800000000000004,0.0999999999999952,0.1316460905349794,0.008454161376901893,18.959333333333333,0.1875348856435312
gnn_topk10_selector_sage_candidate,50,uniform,equal,0.0,0.0,304.6924441728767,6.847024550831733,3.5485157354286936,1.5504755704274265,109.83183950976236,51.81554389235441,0.0,0.0,50.0,0.0,0.0419753086419753,0.0021096305543993757,19.226666666666667,0.6117461347105788
gnn_topk10_selector_sage_candidate,75,hotspot,equal,0.002666666666666633,0.002309401076758503,325.07396925707224,3.446948124796428,1.574954791515915,0.4820859679344431,236.74598054599053,90.00758799066256,0.0,0.0,72.8,0.17320508075688096,0.18809327846364884,0.0071705777032329806,18.766222222222225,0.7965707985088573
gnn_topk10_selector_sage_candidate,75,uniform,equal,0.0,0.0,422.5719644385786,17.662794539394113,2.3643620523872078,1.5720362898534046,335.5100369248119,333.03362503678045,0.0,0.0,74.46666666666667,0.5033222956847163,0.061947873799725606,0.0024503169450125384,18.87111111111111,0.7241906849360549
gnn_topk10_selector_sage_candidate,100,hotspot,equal,0.022333333333333334,0.004509249752822896,381.7819799036479,5.509126075263992,1.7709354479725417,0.23412462572784257,223.93267107895477,35.704776785437495,0.0,0.0,92.33333333333333,1.0408329997330659,0.24695473251028807,0.007210958118322389,18.449,0.4344249072049157
gnn_topk10_selector_sage_candidate,100,uniform,equal,0.0,0.0,507.38104111680656,3.7618425208759927,0.6455214162946176,0.35537222865879636,1128.6887616491374,870.6639219245204,0.0,0.0,97.03333333333335,3.3501243758005943,0.08201646090534977,0.000249472338538711,19.620666666666665,0.3655001139990687
