algo,method,users,seed,traffic,weight_name,weights,weight_se,weight_ee,weight_blocking,blocking_rate,spectral_efficiency,energy_efficiency,total_power,total_power_w,qos_violations,episode_reward,epsilon,train_steps,loss,mean_q_value,invalid_action_rate,replay_buffer_size,served_users,blocked_users,objective,served_users_std,blocked_users_std,blocked_reject_action,blocked_reject_action_std,blocked_occupied_channel,blocked_occupied_channel_std,blocked_qos,blocked_qos_std,qos_violations_std,blocking_rate_std,spectral_efficiency_std,energy_efficiency_std,total_power_w_std,objective_std,episode_reward_std,mean_q_value_std,invalid_action_rate_std,candidate_steps,candidate_steps_std,sage_steps,sage_steps_std,hotspot_threshold,eval_episodes,candidate_min_users,candidate_min_remaining,candidate_min_peak_load,selector_reject_actions,selector_reject_actions_std,selector_margin,selector_margin_std,selector_tolerance,selector_evaluated_actions,selector_evaluated_actions_std,selector_top_k
dqn,dqn,125,0,hotspot,equal,equal,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.284,269.7093296456515,0.0945685913028391,2882.1222799109,2882.1222799109,0.0,80.9,0.0,12500,0.1617975869486408,9.140792528915409,0.2790123456790123,10000.0,89.5,35.5,0.463687131902773,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dqn,dqn,125,0,uniform,equal,equal,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3047999999999999,266.3174287811433,0.2602979707732704,1027.7722677441338,1027.7722677441338,0.0,83.0,0.0,12500,0.1695938095931083,11.414898912811278,0.0817283950617284,10000.0,86.9,38.1,0.4543875739031007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dqn,dqn,125,1,hotspot,equal,equal,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.34,272.46858541069787,0.2723628304902051,1011.8103255711128,1011.8103255711128,0.0,75.1,0.0,12500,0.1775133838095972,9.647608064460757,0.2342716049382716,10000.0,82.5,42.5,0.4478137179269432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dqn,dqn,125,1,uniform,equal,equal,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3832,250.2404410268825,0.1381555079736744,1996.925271309261,1996.925271309261,0.0,72.5,0.0,12500,0.2026827248834794,12.004459651184082,0.0780246913580247,10000.0,77.1,47.9,0.4145174661556622,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dqn,dqn,125,2,hotspot,equal,equal,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.268,270.78060064829526,0.1983576943152865,1378.9461417496273,1378.9461417496273,0.0,81.4,0.0,12500,0.1570562366997042,9.96568403301239,0.2976296296296296,10000.0,91.5,33.5,0.4702014941355664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dqn,dqn,125,2,uniform,equal,equal,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3288,269.69352284075546,0.1218575639186797,2228.8391543176795,2228.8391543176795,0.0,80.5,0.0,12500,0.158676178945649,11.443970401763917,0.0772345679012345,10000.0,83.9,41.1,0.4488164289337369,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dqn,dqn,150,0,hotspot,equal,equal,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.254,320.9150360068839,0.168886590483398,1934.943566440232,1934.943566440232,0.0,104.3,0.0,15000,0.1342971580656799,8.368075029055278,0.3366666666666665,10000.0,111.9,38.1,0.5165649927570792,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dqn,dqn,150,0,uniform,equal,equal,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3193333333333333,319.3820144974047,0.1441130042325206,2238.800646640764,2238.800646640764,0.0,97.4,0.0,15000,0.1597043628225455,10.957246137619018,0.0947325102880658,10000.0,102.1,47.9,0.493440881537372,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dqn,dqn,150,1,hotspot,equal,equal,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.4113333333333333,268.57250233385673,0.4691183880232576,576.9641369806396,576.9641369806396,0.0,82.2,0.0,15000,0.1542574189401961,8.505686118602753,0.3222633744855966,10000.0,88.3,61.7,0.4213357474671674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dqn,dqn,150,1,uniform,equal,equal,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.2853333333333333,327.59224160988094,0.0826477242482593,3969.8117688026177,3969.8117688026177,0.0,100.7,0.0,15000,0.1792718429823179,11.05971251487732,0.1052674897119341,10000.0,107.2,42.8,0.5114453339089237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
